2020-10-23 13:19:59,206 - Null reference [template 'app/ppk/headerppk_script.jsp', line 33, column 27] : $jquery cannot be resolved.
2020-10-23 13:19:59,206 - Null reference [template 'app/ppk/headerppk_script.jsp', line 50, column 11] : $jquery cannot be resolved.
2020-10-23 13:19:59,206 - Null reference [template 'app/ppk/headerppk_script.jsp', line 58, column 11] : $jquery cannot be resolved.
2020-10-23 13:19:59,206 - Null reference [template 'app/ppk/headerppk_script.jsp', line 683, column 1] : $jquery cannot be resolved.
2020-10-23 13:20:00,614 - Null reference [template 'vtl/ajax/ajax_main.vm', line 26, column 1] : $jquery cannot be resolved.
2020-10-23 13:20:00,614 - Left side ($queryString) of '!=' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. vtl/ajax/ajax_main.vm[line 36, column 25]
2020-10-23 13:20:00,614 - Null reference [template 'vtl/ajax/ajax_main.vm', line 37, column 73] : $queryString cannot be resolved.
2020-10-23 13:20:00,614 - Left side ($queryString) of '!=' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. vtl/ajax/ajax_main.vm[line 50, column 25]
2020-10-23 13:20:00,614 - Null reference [template 'vtl/ajax/ajax_main.vm', line 52, column 78] : $queryString cannot be resolved.
2020-10-23 13:20:00,614 - Left side ($queryString) of '!=' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. vtl/ajax/ajax_main.vm[line 64, column 25]
2020-10-23 13:20:00,614 - Null reference [template 'vtl/ajax/ajax_main.vm', line 65, column 34] : $queryString cannot be resolved.
2020-10-23 13:23:29,065 - RHS of #set statement is null. Context will not be modified. vtl/main/header.vm[line 15, column 1]
2020-10-23 13:23:29,066 - RHS of #set statement is null. Context will not be modified. vtl/main/header.vm[line 28, column 1]
2020-10-23 13:23:29,066 - RHS of #set statement is null. Context will not be modified. vtl/main/header.vm[line 29, column 1]
2020-10-23 13:23:29,066 - RHS of #set statement is null. Context will not be modified. vtl/main/header.vm[line 37, column 1]
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 94, column 17] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 120, column 13] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 121, column 9] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 124, column 17] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 124, column 47] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 125, column 9] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 126, column 9] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 130, column 5] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 131, column 9] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 132, column 9] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 239, column 163] : $viewPengguna cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 618, column 19] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 657, column 35] : $jquery cannot be resolved.
2020-10-23 13:23:29,066 - Null reference [template 'vtl/main/greeting.vm', line 688, column 33] : $jquery cannot be resolved.
